time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1722442840        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442850        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442861        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442871        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442882        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442893        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442903        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442913        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442924        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442934        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442945        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442955        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442965        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442976        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442987        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722442997        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443007        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443018        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443029        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443039        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443050        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443062        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443073        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443083        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443093        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443104        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443114        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443125        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443136        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443147        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443158        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443168        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443179        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443189        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443199        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443210        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443220        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443231        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443241        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443252        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443262        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443272        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443283        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443293        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443304        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443314        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443324        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443335        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443345        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443355        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443366        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443376        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443387        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443397        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443408        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443418        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443429        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443439        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443449        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443460        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443470        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443481        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443491        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443502        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443512        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443522        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443533        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443544        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443554        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443564        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443575        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443585        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443596        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443606        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443617        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443627        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443637        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443648        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443660        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443670        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443680        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443692        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443702        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443712        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443723        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443733        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443744        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443754        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443765        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443775        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443785        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443796        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443806        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443817        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443827        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443837        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443848        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443858        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443868        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443879        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443889        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443900        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443910        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443921        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443931        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443942        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443952        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443962        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443972        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443983        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722443994        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
1722444004        0                 0                 0                 0                 0                 0                 0                 0                 0                 0                 0                
