#TIME             VMEM_MAX          VMEM              RMEM_MAX          RMEM              SHMEM             MEM_FREE          TMEM_MAX         
1722442839        4.639180          4.639180          0.095425          0.095425          0.000000          241.601000        0.095425         
1722442850        4.861210          4.861210          0.300949          0.300949          0.000000          241.284000        0.300949         
1722442860        5.319900          5.319900          0.507847          0.507847          0.000000          240.989000        0.507847         
1722442871        218.252000        218.252000        6.203990          6.203990          0.000000          235.099000        6.203990         
1722442881        219.480000        219.480000        6.794250          6.794250          0.000000          234.534000        6.794250         
1722442892        220.255000        220.255000        7.609500          7.609500          0.000000          233.715000        7.609500         
1722442903        220.257000        220.257000        7.698250          7.698250          0.000000          233.625000        7.698250         
1722442913        220.257000        220.257000        7.707020          7.707020          0.000000          233.618000        7.707020         
1722442923        220.257000        220.257000        7.716710          7.716710          0.000000          233.607000        7.716710         
1722442934        220.258000        220.258000        7.725770          7.725770          0.000000          233.598000        7.725770         
1722442944        220.259000        220.259000        7.733670          7.733670          0.000000          233.591000        7.733670         
1722442955        220.262000        220.262000        7.746440          7.746440          0.000000          233.577000        7.746440         
1722442965        220.264000        220.264000        7.754800          7.754800          0.000000          233.569000        7.754800         
1722442976        220.268000        220.268000        7.759290          7.759290          0.000000          233.565000        7.759290         
1722442986        220.270000        220.270000        7.763450          7.763450          0.000000          233.561000        7.763450         
1722442997        220.272000        220.272000        7.765950          7.765950          0.000000          233.558000        7.765950         
1722443007        220.274000        220.274000        7.767830          7.767830          0.000000          233.555000        7.767830         
1722443018        220.275000        220.275000        7.769000          7.769000          0.000000          233.556000        7.769000         
1722443028        220.275000        220.275000        7.769000          7.768010          0.000000          233.555000        7.769000         
1722443039        220.275000        220.275000        7.769000          7.768560          0.000000          233.555000        7.769000         
1722443049        220.275000        220.275000        7.769000          7.768710          0.000000          233.555000        7.769000         
1722443060        220.275000        220.275000        7.769000          7.768940          0.000000          233.554000        7.769000         
1722443072        220.275000        220.275000        7.769210          7.769210          0.000000          233.554000        7.769210         
1722443083        220.275000        220.275000        7.769280          7.769280          0.000000          233.553000        7.769280         
1722443093        220.275000        220.275000        7.769390          7.769390          0.000000          233.554000        7.769390         
1722443103        220.275000        220.275000        7.769540          7.769540          0.000000          233.544000        7.769540         
1722443114        220.275000        220.275000        7.769640          7.769640          0.000000          233.542000        7.769640         
1722443124        220.275000        220.275000        7.769660          7.769660          0.000000          233.545000        7.769660         
1722443135        220.275000        220.275000        7.769820          7.769820          0.000000          233.545000        7.769820         
1722443146        220.275000        220.275000        7.769820          7.769690          0.000000          233.544000        7.769820         
1722443158        220.275000        220.275000        7.769820          7.769720          0.000000          233.545000        7.769820         
1722443168        220.275000        220.275000        7.769920          7.769920          0.000000          233.544000        7.769920         
1722443178        220.275000        220.275000        7.769940          7.769940          0.000000          233.544000        7.769940         
1722443189        220.275000        220.275000        7.769970          7.769970          0.000000          233.545000        7.769970         
1722443199        220.275000        220.275000        7.770150          7.770150          0.000000          233.544000        7.770150         
1722443209        220.275000        220.275000        7.770190          7.770190          0.000000          233.545000        7.770190         
1722443220        220.275000        220.275000        7.770260          7.770260          0.000000          233.544000        7.770260         
1722443230        220.275000        220.275000        7.770340          7.770340          0.000000          233.544000        7.770340         
1722443241        220.275000        220.275000        7.770400          7.770400          0.000000          233.544000        7.770400         
1722443251        220.275000        220.275000        7.770510          7.770510          0.000000          233.544000        7.770510         
1722443262        220.275000        220.275000        7.770580          7.770580          0.000000          233.543000        7.770580         
1722443272        220.275000        220.275000        7.770590          7.770590          0.000000          233.544000        7.770590         
1722443283        220.275000        220.275000        7.770620          7.770620          0.000000          233.543000        7.770620         
1722443293        220.275000        220.275000        7.770650          7.770650          0.000000          233.545000        7.770650         
1722443303        220.275000        220.275000        7.770780          7.770780          0.000000          233.544000        7.770780         
1722443314        220.275000        220.275000        7.770780          7.770780          0.000000          233.544000        7.770780         
1722443324        220.275000        220.275000        7.770850          7.770850          0.000000          233.544000        7.770850         
1722443335        220.275000        220.275000        7.770850          7.770850          0.000000          233.544000        7.770850         
