#TIME all_pgs_mb huge_pgs_mb Node0_Foreign Node1_Foreign Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1722442840 1647580399 1313740928 24947811 416455121 329928035 377104895 1695971 101750 122452.76 124939.62 5720.25 4023.82
1722442850 1647580399 1313740928 24947811 416455121 329928528 377104895 1695971 101750 122132.73 124940.03 6040.54 4023.41
1722442861 1647580403 1313740932 24947811 416455121 329928995 377104895 1695971 101750 121830.63 124940.27 6342.26 4023.17
1722442871 1647580666 1313740952 24947811 416455121 329929741 377104895 1695971 101750 115790.23 124940.57 12383.86 4022.87
1722442882 1647581335 1313741306 24947811 416455121 329929997 377104956 1695971 101750 115690.75 124469.84 12482.25 4493.60
1722442892 1647582605 1313741768 24947811 416455121 329930173 377105013 1695971 101750 115210.31 124111.63 12962.63 4851.80
1722442903 1647583032 1313741874 24947811 416455121 329930271 377105019 1695971 101750 115158.77 124072.64 13014.31 4890.79
1722442913 1647584030 1313742248 24947811 416455121 329930360 377105023 1695971 101750 115153.24 124068.97 13019.25 4894.46
1722442924 1647584570 1313742474 24947811 416455121 329930452 377105028 1695971 101750 115147.57 124064.55 13025.41 4898.88
1722442934 1647585331 1313742662 24947811 416455121 329930542 377105033 1695972 101750 115144.22 124060.94 13028.87 4902.50
1722442945 1647586041 1313742958 24947811 416455121 329930631 377105036 1695972 101750 115138.67 124057.54 13034.04 4905.89
1722442955 1647586345 1313743078 24947811 416455121 329930724 377105040 1695972 101750 115127.58 124055.32 13045.92 4908.12
1722442965 1647586831 1313743114 24947811 416455121 329930814 377105041 1695972 101750 115119.74 124053.68 13052.77 4909.76
1722442976 1647587502 1313743402 24947811 416455121 329930904 377105042 1695972 101750 115116.26 124053.00 13056.14 4910.44
1722442987 1647587951 1313743560 24947811 416455121 329930993 377105043 1695972 101750 115111.65 124052.45 13060.85 4910.98
1722442997 1647588136 1313743560 24947811 416455121 329931081 377105043 1695972 101750 115110.39 124052.39 13063.20 4911.05
1722443007 1647588477 1313743600 24947811 416455121 329931168 377105044 1695972 101750 115106.72 124052.20 13066.28 4911.24
1722443018 1647588735 1313743662 24947811 416455121 329931254 377105044 1695972 101750 115106.50 124052.13 13066.49 4911.31
1722443029 1647589010 1313743710 24947811 416455121 329931340 377105044 1695972 101750 115106.87 124052.38 13066.10 4911.06
1722443039 1647589765 1313743738 24947811 416455121 329931429 377105044 1695972 101750 115105.49 124052.86 13067.43 4910.58
1722443050 1647589993 1313743764 24947811 416455121 329931517 377105049 1695972 101750 115106.70 124051.44 13066.07 4912.00
1722443062 1647590296 1313743764 24947811 416455121 329931603 377105049 1695972 101750 115105.93 124051.58 13066.40 4911.86
1722443072 1647590500 1313743790 24947811 416455121 329931689 377105050 1695972 101750 115104.11 124051.53 13067.41 4911.91
1722443083 1647590984 1313743810 24947811 416455121 329931779 377105054 1695972 101750 115104.86 124053.31 13068.69 4910.13
1722443093 1647591338 1313743810 24947811 416455121 329931865 377105054 1695972 101750 115103.25 124053.57 13069.27 4909.86
1722443104 1647591601 1313743822 24947811 416455121 329931972 377105055 1695972 101751 115096.57 124051.69 13076.66 4911.75
1722443114 1647591863 1313743828 24947811 416455121 329932239 377105057 1695972 101751 115089.15 124056.01 13084.36 4907.43
1722443125 1647592048 1313743838 24947811 416455121 329932333 377105057 1695972 101751 115089.93 124058.47 13083.21 4904.97
1722443136 1647592705 1313743838 24947811 416455121 329932426 377105105 1695972 101751 115129.48 124018.93 13041.98 4944.48
1722443147 1647593054 1313743838 24947811 416455121 329932513 377105126 1695972 101751 115150.27 123998.15 13022.99 4965.29
1722443158 1647593054 1313743838 24947811 416455121 329932599 377105126 1695972 101751 115150.87 123998.34 13021.98 4965.10
1722443168 1647593406 1313743852 24947811 416455121 329932685 377105127 1695972 101751 115149.36 123998.88 13023.41 4964.56
1722443179 1647593406 1313743852 24947811 416455121 329932770 377105127 1695972 101751 115150.11 123999.02 13022.45 4964.42
1722443189 1647593406 1313743852 24947811 416455121 329932855 377105127 1695972 101751 115149.57 123999.21 13023.48 4964.22
1722443199 1647593759 1313743862 24947811 416455121 329932945 377105128 1695972 101751 115145.43 124002.84 13026.57 4960.60
1722443210 1647593759 1313743862 24947811 416455121 329933030 377105128 1695972 101751 115145.21 124003.06 13027.67 4960.38
1722443220 1647593968 1313743874 24947811 416455121 329933118 377105128 1695972 101751 115141.18 124006.07 13032.39 4957.37
1722443231 1647593995 1313743874 24947811 416455121 329933204 377105128 1695972 101751 115141.43 124005.99 13031.89 4957.45
1722443241 1647594398 1313743880 24947811 416455121 329933291 377105130 1695972 101751 115140.59 124006.75 13031.32 4956.68
1722443252 1647594425 1313743880 24947811 416455121 329933379 377105130 1695972 101751 115140.03 124008.30 13033.57 4955.14
1722443262 1647594680 1313743890 24947811 416455121 329933465 377105133 1695972 101751 115141.57 124006.20 13030.95 4957.24
1722443272 1647594680 1313743890 24947811 416455121 329933549 377105133 1695972 101751 115141.27 124006.39 13032.04 4957.05
1722443283 1647594737 1313743890 24947811 416455121 329933635 377105135 1695972 101751 115141.07 124004.91 13032.42 4958.53
1722443293 1647594737 1313743890 24947811 416455121 329933722 377105136 1695972 101751 115146.01 124003.79 13027.79 4959.65
1722443304 1647595031 1313743892 24947811 416455121 329933807 377105141 1695972 101751 115150.57 123998.98 13021.96 4964.45
1722443314 1647595031 1313743892 24947811 416455121 329933893 377105141 1695972 101751 115148.86 123999.24 13024.64 4964.20
1722443324 1647595270 1313743892 24947811 416455121 329933981 377105145 1695972 101751 115149.10 123998.30 13022.54 4965.14
1722443335 1647595270 1313743892 24947811 416455121 329934068 377105145 1695972 101751 115149.04 123998.49 13024.05 4964.95
1722443345 1647595561 1313743900 24947811 416455121 329934159 377105145 1695972 101751 115144.32 124004.00 13028.75 4959.44
1722443355 1647595646 1313743908 24947811 416455121 329934246 377105147 1695972 101751 115144.71 124002.30 13027.93 4961.14
1722443366 1647595769 1313743908 24947811 416455121 329934331 377105147 1695973 101751 115145.39 124002.49 13027.37 4960.95
1722443376 1647595867 1313743916 24947811 416455121 329934418 377105148 1695973 101751 115144.41 124003.37 13026.57 4960.04
1722443387 1647595867 1313743916 24947811 416455121 329934504 377105148 1695973 101751 115144.08 124003.67 13028.80 4959.77
1722443397 1647596013 1313743916 24947811 416455121 329934590 377105148 1695973 101751 115144.45 124003.94 13029.12 4959.50
1722443408 1647596077 1313743922 24947811 416455121 329934676 377105149 1695973 101751 115144.18 124003.95 13028.86 4959.48
1722443418 1647596155 1313743922 24947811 416455121 329934763 377105149 1695973 101751 115144.07 124004.20 13028.82 4959.24
1722443429 1647596272 1313743928 24947811 416455121 329934849 377105152 1695973 101751 115148.45 124002.20 13024.55 4961.24
1722443439 1647596272 1313743928 24947811 416455121 329934934 377105152 1695973 101751 115146.93 124002.30 13026.09 4961.14
1722443449 1647596457 1313743934 24947811 416455121 329935022 377105156 1695973 101751 115149.79 124000.05 13024.23 4963.39
1722443460 1647596457 1313743934 24947811 416455121 329935108 377105156 1695973 101751 115148.82 124000.74 13023.92 4962.70
1722443470 1647596631 1313743938 24947811 416455121 329935196 377105159 1695973 101751 115150.63 123997.68 13022.41 4965.76
1722443481 1647596631 1313743938 24947811 416455121 329935281 377105160 1695973 101751 115150.54 123997.62 13022.09 4965.81
1722443491 1647596769 1313743942 24947811 416455121 329935370 377105160 1695973 101751 115147.18 124000.80 13025.20 4962.64
1722443502 1647596769 1313743942 24947811 416455121 329935455 377105162 1695973 101751 115148.04 123999.63 13024.95 4963.81
1722443512 1647596928 1313743946 24947811 416455121 329935543 377105164 1695973 101751 115145.50 124000.48 13027.09 4962.96
1722443522 1647596928 1313743946 24947811 416455121 329935629 377105164 1695973 101751 115146.63 124000.72 13026.21 4962.71
1722443533 1647597072 1313743948 24947811 416455121 329935716 377105169 1695973 101751 115153.13 123996.80 13019.84 4966.64
1722443544 1647597100 1313743948 24947811 416455121 329935801 377105169 1695973 101751 115151.38 123996.62 13021.69 4966.82
1722443554 1647597146 1313743948 24947811 416455121 329935886 377105169 1695973 101751 115150.26 123996.72 13022.79 4966.71
1722443564 1647597284 1313743950 24947811 416455121 329935976 377105170 1695973 101751 115149.13 123998.64 13023.57 4964.80
1722443575 1647597356 1313743952 24947811 416455121 329936062 377105170 1695973 101751 115147.99 123999.02 13025.07 4964.41
1722443585 1647597468 1313743954 24947811 416455121 329936147 377105171 1695973 101751 115148.23 123998.88 13023.88 4964.56
1722443596 1647597468 1313743954 24947811 416455121 329936232 377105171 1695973 101751 115148.00 123998.97 13025.45 4964.46
1722443606 1647597583 1313743954 24947811 416455121 329936318 377105171 1695973 101751 115147.83 123998.63 13024.50 4964.81
1722443617 1647597583 1313743954 24947811 416455121 329936404 377105171 1695973 101751 115147.28 123999.61 13025.67 4963.82
1722443627 1647597850 1313744210 24947811 416455121 329936814 377106463 1695973 101751 115891.59 124943.14 12281.13 4020.30
1722443637 1647598034 1313744266 24947811 416455121 329936919 377106479 1695973 101751 115829.77 124871.25 12343.24 4092.19
1722443648 1647598218 1313744374 24947811 416455121 329937015 377106489 1695973 101751 115790.34 124836.75 12382.15 4126.68
1722443660 1647598218 1313744374 24947811 416455121 329937104 377106497 1695973 101751 115784.91 124814.45 12388.09 4148.99
1722443670 1647598457 1313744484 24947811 416455121 329937191 377106521 1695973 101751 115800.65 124791.53 12371.79 4171.91
1722443680 1647598457 1313744484 24947811 416455121 329937279 377106521 1695973 101751 115798.90 124791.81 12373.75 4171.62
1722443692 1647598675 1313744582 24947811 416455121 329937366 377106529 1695973 101751 115799.58 124763.50 12373.93 4199.94
1722443702 1647598675 1313744582 24947811 416455121 329937473 377106533 1695973 101751 115789.77 124750.59 12384.36 4212.85
1722443712 1647598675 1313744582 24947811 416455121 329937733 377106535 1695973 101751 115749.62 124749.48 12423.61 4213.96
1722443723 1647598675 1313744582 24947811 416455121 329937834 377106539 1695973 101751 115715.51 124722.70 12457.01 4240.74
1722443733 1647598675 1313744582 24947811 416455121 329937923 377106541 1695973 101751 115700.94 124721.53 12472.11 4241.91
1722443744 1647598743 1313744582 24947811 416455121 329938035 377106547 1695973 101751 115672.92 124717.00 12499.74 4246.44
1722443754 1647598743 1313744582 24947811 416455121 329938121 377106553 1695973 101751 115673.48 124695.39 12499.45 4268.04
1722443765 1647598743 1313744582 24947811 416455121 329938207 377106553 1695973 101751 115671.62 124695.12 12501.87 4268.32
1722443775 1647598743 1313744582 24947811 416455121 329938294 377106553 1695973 101751 115670.93 124693.18 12502.58 4270.26
1722443785 1647599246 1313744760 24947811 416455121 329938387 377106554 1695973 101751 115647.79 124695.54 12524.72 4267.90
1722443796 1647599246 1313744760 24947811 416455121 329938478 377106554 1695974 101751 115640.15 124695.72 12533.18 4267.72
1722443806 1647599246 1313744760 24947811 416455121 329938563 377106563 1695974 101751 115636.73 124577.92 12535.63 4385.52
